Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2013-06-30,20.8,20.87,19.89,19.89,147100.0,0.0,1.0,20.8,20.87,19.89,19.89,147100.0
2013-07-07,21.05,21.47,20.7,21.24,84000.0,0.0,1.0,21.05,21.47,20.7,21.24,84000.0
2013-07-14,21.17,21.77,20.96,21.35,10700.0,0.0,1.0,21.17,21.77,20.96,21.35,10700.0
2013-07-21,22.05,22.05,21.35,21.67,55800.0,0.0,1.0,22.05,22.05,21.35,21.67,55800.0
2013-07-28,21.45,21.88,21.45,21.7,16500.0,0.0,1.0,21.45,21.88,21.45,21.7,16500.0
2013-08-04,21.7,22.15,21.7,21.78,9600.0,0.0,1.0,21.7,22.15,21.7,21.78,9600.0
2013-08-11,23.9,24.75,23.9,24.13,7000.0,0.0,1.0,23.9,24.75,23.9,24.13,7000.0
2013-08-18,23.68,23.73,23.3,23.7,2500.0,0.0,1.0,23.68,23.73,23.3,23.7,2500.0
2013-08-25,22.95,23.0,22.6,23.0,8700.0,0.0,1.0,22.95,23.0,22.6,23.0,8700.0
2013-09-01,23.67,23.75,23.01,23.75,7900.0,0.0,1.0,23.67,23.75,23.01,23.75,7900.0
2013-09-08,24.39,24.57,24.21,24.37,49600.0,0.0,1.0,24.39,24.57,24.21,24.37,49600.0
2013-09-15,26.84,26.84,26.47,26.56,10200.0,0.0,1.0,26.84,26.84,26.47,26.56,10200.0
2013-09-22,25.84,26.9,25.84,25.99,8800.0,0.0,1.0,25.84,26.9,25.84,25.99,8800.0
2013-09-29,26.77,26.9,26.31,26.64,17600.0,0.0,1.0,26.77,26.9,26.31,26.64,17600.0
2013-10-06,26.02,26.31,26.02,26.25,18100.0,0.0,1.0,26.02,26.31,26.02,26.25,18100.0
2013-10-13,26.73,27.4,26.59,27.4,23200.0,0.0,1.0,26.73,27.4,26.59,27.4,23200.0
2013-10-20,27.16,27.83,26.15,27.83,99200.0,0.0,1.0,27.16,27.83,26.15,27.83,99200.0
2013-10-27,28.05,28.18,27.73,28.05,37800.0,0.0,1.0,28.05,28.18,27.73,28.05,37800.0
2013-11-03,29.16,29.85,29.0,29.05,56900.0,0.0,1.0,29.16,29.85,29.0,29.05,56900.0
2013-11-10,31.57,32.01,30.51,31.98,58300.0,0.0,1.0,31.57,32.01,30.51,31.98,58300.0
2013-11-17,33.39,34.17,33.39,33.8,45500.0,0.0,1.0,33.39,34.17,33.39,33.8,45500.0
2013-11-24,36.8,38.83,36.0,37.7,1125500.0,0.0,1.0,36.8,38.83,36.0,37.7,1125500.0
2013-12-01,37.27,38.0,37.27,37.93,21000.0,0.0,1.0,37.27,38.0,37.27,37.93,21000.0
2013-12-08,37.47,38.18,37.29,37.49,51400.0,0.0,1.0,37.47,38.18,37.29,37.49,51400.0
2013-12-15,37.49,39.57,37.37,37.95,109700.0,0.0,1.0,37.49,39.57,37.37,37.95,109700.0
2013-12-22,37.33,38.03,36.38,38.03,81900.0,0.0,1.0,37.33,38.03,36.38,38.03,81900.0
2013-12-29,38.0,38.06,36.42,38.06,37700.0,0.0,1.0,38.0,38.06,36.42,38.06,37700.0
2014-01-05,37.58,38.1,37.06,37.79,42900.0,0.0,1.0,37.58,38.1,37.06,37.79,42900.0
2014-01-12,36.84,36.84,35.92,36.57,26400.0,0.0,1.0,36.84,36.84,35.92,36.57,26400.0
2014-01-19,37.69,39.64,37.1,38.29,82900.0,0.0,1.0,37.69,39.64,37.1,38.29,82900.0
2014-01-26,36.31,38.15,35.62,36.77,52700.0,0.0,1.0,36.31,38.15,35.62,36.77,52700.0
2014-02-02,36.84,38.0,36.84,37.39,61600.0,0.0,1.0,36.84,38.0,36.84,37.39,61600.0
2014-02-09,36.81,38.1,36.51,37.5,73800.0,0.0,1.0,36.81,38.1,36.51,37.5,73800.0
2014-02-16,43.45,43.45,38.79,41.99,264700.0,0.0,1.0,43.45,43.45,38.79,41.99,264700.0
2014-02-23,39.14,40.07,39.0,39.85,108600.0,0.0,1.0,39.14,40.07,39.0,39.85,108600.0
2014-03-02,38.62,39.37,37.11,37.43,156300.0,0.0,1.0,38.62,39.37,37.11,37.43,156300.0
2014-03-09,34.39,34.5,33.44,33.62,123800.0,0.0,1.0,34.39,34.5,33.44,33.62,123800.0
2014-03-16,31.32,31.65,30.5,31.13,96100.0,0.0,1.0,31.32,31.65,30.5,31.13,96100.0
2014-03-23,32.48,33.03,32.0,32.69,70100.0,0.0,1.0,32.48,33.03,32.0,32.69,70100.0
2014-03-30,34.13,34.81,33.65,34.17,121200.0,0.0,1.0,34.13,34.81,33.65,34.17,121200.0
2014-04-06,36.26,36.4,34.71,36.29,66700.0,0.0,1.0,36.26,36.4,34.71,36.29,66700.0
2014-04-13,30.78,31.7,30.12,31.33,61100.0,0.0,1.0,30.78,31.7,30.12,31.33,61100.0
2014-04-20,29.25,30.44,28.73,30.13,168500.0,0.0,1.0,29.25,30.44,28.73,30.13,168500.0
2014-04-27,28.63,28.95,27.8,28.08,142600.0,0.0,1.0,28.63,28.95,27.8,28.08,142600.0
2014-05-04,26.57,26.57,25.37,25.55,95900.0,0.0,1.0,26.57,26.57,25.37,25.55,95900.0
2014-05-11,26.34,26.84,26.06,26.58,71500.0,0.0,1.0,26.34,26.84,26.06,26.58,71500.0
2014-05-18,27.14,28.24,26.79,28.18,117400.0,0.0,1.0,27.14,28.24,26.79,28.18,117400.0
2014-05-25,30.15,30.65,29.98,30.64,105300.0,0.0,1.0,30.15,30.65,29.98,30.64,105300.0
2014-06-01,32.8,32.8,32.05,32.4,218200.0,0.0,1.0,32.8,32.8,32.05,32.4,218200.0
2014-06-08,34.06,34.6,34.06,34.47,130300.0,0.0,1.0,34.06,34.6,34.06,34.47,130300.0
2014-06-15,35.8,35.8,34.95,35.12,96000.0,0.0,1.0,35.8,35.8,34.95,35.12,96000.0
2014-06-22,35.68,36.4,35.01,35.5,113900.0,0.0,1.0,35.68,36.4,35.01,35.5,113900.0
2014-06-29,36.25,37.2,36.02,36.65,368400.0,0.0,1.0,36.25,37.2,36.02,36.65,368400.0
2014-07-06,36.24,36.93,35.81,36.58,42800.0,0.0,1.0,36.24,36.93,35.81,36.58,42800.0
2014-07-13,36.59,37.5,36.47,37.33,71800.0,0.0,1.0,36.59,37.5,36.47,37.33,71800.0
2014-07-20,33.9,35.05,33.86,34.85,150700.0,0.0,1.0,33.9,35.05,33.86,34.85,150700.0
2014-07-27,30.89,31.56,30.32,31.49,79800.0,0.0,1.0,30.89,31.56,30.32,31.49,79800.0
2014-08-03,31.57,32.03,31.34,32.03,100820.0,0.0,1.0,31.57,32.03,31.34,32.03,100820.0
2014-08-10,34.64,35.39,34.32,35.08,110129.0,0.0,1.0,34.64,35.39,34.32,35.08,110129.0
2014-08-17,37.57,38.0,35.78,36.01,282704.0,0.0,1.0,37.57,38.0,35.78,36.01,282704.0
2014-08-24,37.04,37.35,36.97,37.03,39776.0,0.0,1.0,37.04,37.35,36.97,37.03,39776.0
2014-08-31,36.13,36.13,35.75,35.99,37420.0,0.0,1.0,36.13,36.13,35.75,35.99,37420.0
2014-09-07,35.16,35.27,34.52,34.86,111663.0,0.0,1.0,35.16,35.27,34.52,34.86,111663.0
2014-09-14,34.2,34.5,33.12,33.19,44987.0,0.0,1.0,34.2,34.5,33.12,33.19,44987.0
2014-09-21,35.56,36.13,35.01,36.07,119660.0,0.0,1.0,35.56,36.13,35.01,36.07,119660.0
2014-09-28,36.05,37.04,36.08,36.99,30415.0,0.0,1.0,36.05,37.04,36.08,36.99,30415.0
2014-10-05,35.98,36.49,35.69,36.07,49520.0,0.0,1.0,35.98,36.49,35.69,36.07,49520.0
2014-10-12,35.94,37.25,34.53,36.71,164922.0,0.0,1.0,35.94,37.25,34.53,36.71,164922.0
2014-10-19,34.26,34.57,33.97,34.48,97886.0,0.0,1.0,34.26,34.57,33.97,34.48,97886.0
2014-10-26,35.33,35.37,34.13,34.21,49709.0,0.0,1.0,35.33,35.37,34.13,34.21,49709.0
2014-11-02,39.09,40.12,38.73,39.99,279956.0,0.0,1.0,39.09,40.12,38.73,39.99,279956.0
2014-11-09,37.45,38.14,36.89,37.87,85922.0,0.0,1.0,37.45,38.14,36.89,37.87,85922.0
2014-11-16,39.41,40.5,38.5738,39.11,132979.0,0.0,1.0,39.41,40.5,38.5738,39.11,132979.0
2014-11-23,37.97,39.49,37.665,38.36,476510.0,0.0,1.0,37.97,39.49,37.665,38.36,476510.0
2014-11-30,39.98,41.99,39.19,39.48,327100.0,0.0,1.0,39.98,41.99,39.19,39.48,327100.0
2014-12-07,39.26,39.66,38.2,39.01,284666.0,0.0,1.0,39.26,39.66,38.2,39.01,284666.0
2014-12-14,39.2,39.78,39.01,39.4,162914.0,0.0,1.0,39.2,39.78,39.01,39.4,162914.0
2014-12-21,37.93,39.17,37.715,38.66,181080.0,0.0,1.0,37.93,39.17,37.715,38.66,181080.0
2014-12-28,38.78,39.46,38.59,39.01,28568.0,0.0,1.0,38.78,39.46,38.59,39.01,28568.0
2015-01-04,39.0,39.21,38.27,39.02,83836.0,0.0,1.0,39.0,39.21,38.27,39.02,83836.0
2015-01-11,38.81,39.3,38.4,38.71,112095.0,0.0,1.0,38.81,39.3,38.4,38.71,112095.0
