Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1986-03-13,25.5,29.25,25.5,28.0,3582600.0,0.0,1.0,0.063580607947966,0.072930697352078,0.063580607947966,0.069814000884041,1031788800.0
1986-03-14,28.0,29.5,28.0,29.0,1070000.0,0.0,1.0,0.069814000884041,0.073554036645686,0.069814000884041,0.072307358058471,308160000.0
1986-03-17,29.0,29.75,29.0,29.5,462400.0,0.0,1.0,0.072307358058471,0.074177375939293,0.072307358058471,0.073554036645686,133171200.0
1986-03-18,29.5,29.75,28.5,28.75,235300.0,0.0,1.0,0.073554036645686,0.074177375939293,0.071060679471256,0.071684018764863,67766400.0
1986-03-19,28.75,29.0,28.0,28.25,166300.0,0.0,1.0,0.071684018764863,0.072307358058471,0.069814000884041,0.070437340177648,47894400.0
1986-03-20,28.25,28.25,27.25,27.5,202900.0,0.0,1.0,0.070437340177648,0.070437340177648,0.067943983003218,0.068567322296826,58435200.0
1986-03-21,27.5,28.0,26.25,26.75,208300.0,0.0,1.0,0.068567322296826,0.069814000884041,0.065450625828788,0.066697304416003,59990400.0
1986-03-24,26.75,26.75,25.75,26.0,226700.0,0.0,1.0,0.066697304416003,0.066697304416003,0.064203947241573,0.064827286535181,65289600.0
1986-03-25,26.0,26.5,25.75,26.5,111400.0,0.0,1.0,0.064827286535181,0.066073965122396,0.064203947241573,0.066073965122396,32083200.0
1986-03-26,26.5,27.5,26.25,27.25,79000.0,0.0,1.0,0.066073965122396,0.068567322296826,0.065450625828788,0.067943983003218,22752000.0
1986-03-27,27.25,27.75,27.25,27.75,58500.0,0.0,1.0,0.067943983003218,0.069190661590433,0.067943983003218,0.069190661590433,16848000.0
1986-03-31,27.75,27.75,27.0,27.5,44700.0,0.0,1.0,0.069190661590433,0.069190661590433,0.067320643709611,0.068567322296826,12873600.0
1986-04-01,27.5,27.5,27.25,27.25,38500.0,0.0,1.0,0.068567322296826,0.068567322296826,0.067943983003218,0.067943983003218,11088000.0
1986-04-02,27.25,28.0,27.25,27.5,93800.0,0.0,1.0,0.067943983003218,0.069814000884041,0.067943983003218,0.068567322296826,27014400.0
1986-04-03,27.75,28.5,27.75,27.75,80000.0,0.0,1.0,0.069190661590433,0.071060679471256,0.069190661590433,0.069190661590433,23040000.0
1986-04-04,27.75,28.0,27.75,27.75,92300.0,0.0,1.0,0.069190661590433,0.069814000884041,0.069190661590433,0.069190661590433,26582400.0
1986-04-07,27.75,28.0,26.75,27.25,57500.0,0.0,1.0,0.069190661590433,0.069814000884041,0.066697304416003,0.067943983003218,16560000.0
1986-04-08,27.25,28.0,27.25,27.5,35600.0,0.0,1.0,0.067943983003218,0.069814000884041,0.067943983003218,0.068567322296826,10252800.0
