Index,Time,HIGH,LOW,LAST,FIRST
1,00:00.0,0.93347,0.9327,0.93277,0.93296
2,00:00.0,0.93376,0.93273,0.93356,0.93282
3,00:00.0,0.9343,0.93341,0.93422,0.93351
4,00:00.0,0.93428,0.93371,0.93416,0.93423
5,00:00.0,0.93453,0.93383,0.93432,0.93421
6,00:00.0,0.93438,0.9339,0.93407,0.93422
7,00:00.0,0.93522,0.934,0.93491,0.93408
8,00:00.0,0.93527,0.93461,0.93496,0.93508
9,00:00.0,0.93502,0.9344,0.93476,0.93495
10,00:00.0,0.93498,0.93427,0.93454,0.93471
11,00:00.0,0.93463,0.93435,0.93446,0.93459
12,00:00.0,0.93452,0.93409,0.93416,0.93451
13,00:00.0,0.93437,0.93381,0.93419,0.93411
14,00:00.0,0.9347,0.93414,0.93446,0.93424
15,00:00.0,0.93456,0.93392,0.93421,0.93441
16,00:00.0,0.93441,0.93398,0.93417,0.93441
17,00:00.0,0.93442,0.93407,0.93416,0.93418
18,00:00.0,0.93411,0.93371,0.93377,0.93411
19,00:00.0,0.93412,0.93347,0.93347,0.93371
20,00:00.0,0.93359,0.93308,0.93322,0.93349
21,00:00.0,0.93399,0.93327,0.9333,0.93327
22,00:00.0,0.93389,0.93329,0.93349,0.9334
23,00:00.0,0.93429,0.93339,0.9335,0.93339
24,00:00.0,0.93366,0.93297,0.93344,0.93349
25,00:00.0,0.93364,0.93315,0.93335,
26,00:00.0,0.93357,0.93107,0.93142,0.93336
27,00:00.0,0.932,0.9303,0.9305,0.93143
28,00:00.0,0.93118,0.9299,0.92994,0.93051
29,00:00.0,0.93108,0.92859,0.92958,0.92999
30,00:00.0,0.93006,0.92911,0.92932,0.92957
31,00:00.0,0.92968,0.92856,0.9289,0.92933
32,00:00.0,0.92998,0.92879,0.92993,0.92889
33,00:00.0,0.93052,0.92901,0.92906,0.92998
34,00:00.0,0.92951,0.92873,0.92921,0.92907
35,00:00.0,0.92918,0.92861,0.92901,0.92916
36,00:00.0,0.92902,0.92826,0.92841,0.92896
37,00:00.0,0.92851,0.92761,0.92837,0.9284
38,00:00.0,0.92903,0.92814,0.92881,0.92836
39,00:00.0,0.92901,0.92691,0.92757,0.92871
40,00:00.0,0.92803,0.92705,0.92757,0.92758
41,00:00.0,0.92771,0.92694,0.92736,0.92758
42,00:00.0,0.92791,0.92719,0.92765,0.92741
43,00:00.0,0.92791,0.92735,0.92749,0.92767
44,00:00.0,0.92822,0.92747,0.92785,0.92747
45,00:00.0,0.92812,0.92759,0.92759,0.9278
46,00:00.0,0.9282,0.92769,0.92778,0.92769
47,00:00.0,0.92841,0.9277,0.92837,0.92781
48,00:00.0,0.92842,0.92724,0.92774,0.92836
49,00:00.0,0.92885,0.92764,0.92822,
50,00:00.0,0.93163,0.92642,0.92735,0.9282
51,00:00.0,0.9282,0.92737,0.92771,0.92737
52,00:00.0,0.92884,0.92697,0.92745,0.92773
53,00:00.0,0.92811,0.92725,0.92795,0.92743
54,00:00.0,0.9295,0.92791,0.92905,0.928
55,00:00.0,0.93155,0.9288,0.93042,0.92904
56,00:00.0,0.93109,0.93017,0.93096,0.93041
57,00:00.0,0.93351,0.93097,0.93248,0.93099
58,00:00.0,0.9333,0.9321,0.93268,0.9325
59,00:00.0,0.93334,0.93251,0.93256,0.93267
60,00:00.0,0.93311,0.93207,0.933,0.93261
61,00:00.0,0.93504,0.93296,0.93384,0.93302
62,00:00.0,0.93432,0.93359,0.93409,0.93383
63,00:00.0,0.93477,0.93386,0.93432,0.93405
64,00:00.0,0.9352,0.93404,0.93411,0.93433
65,00:00.0,0.93453,0.934,0.93437,0.93412
66,00:00.0,0.93475,0.93407,0.93417,0.93442
67,00:00.0,0.93472,0.93422,0.93456,0.93437
68,00:00.0,0.93488,0.93422,0.93478,0.93458
69,00:00.0,0.93506,0.93421,0.93485,0.93501
70,00:00.0,0.93497,0.93403,0.93454,
71,00:00.0,0.93461,0.9339,0.93449,0.93449
72,00:00.0,0.9349,0.93383,0.93388,0.9345
73,00:00.0,0.93583,0.93394,0.93499,
74,00:00.0,0.93686,0.93494,0.93525,0.93504
75,00:00.0,0.93564,0.93453,0.93469,0.93524
76,00:00.0,0.93573,0.93474,0.93501,0.93488
77,00:00.0,0.93513,0.93482,0.93496,0.93502
78,00:00.0,0.93497,0.93371,0.93397,0.93491
79,00:00.0,0.93423,0.93307,0.93323,0.93387
80,00:00.0,0.93371,0.93319,0.93361,0.93321
81,00:00.0,0.93486,0.93355,0.9346,0.93356
82,00:00.0,0.93502,0.93445,0.93502,0.93458
83,00:00.0,0.93522,0.93421,0.93446,0.93522
84,00:00.0,0.93655,0.93405,0.93545,0.93441
85,00:00.0,0.93955,0.93461,0.93726,0.93546
86,00:00.0,0.93883,0.93685,0.93798,0.93724
87,00:00.0,0.93853,0.93707,0.9373,0.93795
88,00:00.0,0.93757,0.93593,0.93607,0.93731
89,00:00.0,0.93644,0.93525,0.9356,0.93606
90,00:00.0,0.93582,0.93531,0.93562,0.93561
91,00:00.0,0.93582,0.9349,0.93506,0.93567
92,00:00.0,0.93537,0.93481,0.93522,0.93511
93,00:00.0,0.93559,0.93489,0.93499,0.93516
94,00:00.0,0.93529,0.93426,0.93459,
95,00:00.0,0.93489,0.93419,0.9342,0.9344
96,00:00.0,0.93484,0.93333,0.93341,0.9343
97,00:00.0,0.93434,0.93333,0.93419,
98,00:00.0,0.93491,0.93394,0.93429,0.93424
99,00:00.0,0.93453,0.93393,0.93425,0.93434
100,00:00.0,0.93443,0.93388,0.93408,0.93424
101,00:00.0,0.93436,0.93386,0.93424,0.93401
102,00:00.0,0.93432,0.93363,0.93418,0.93425
103,00:00.0,0.93551,0.93413,0.93525,0.93424
104,00:00.0,0.93561,0.93491,0.93531,0.93523
105,00:00.0,0.93592,0.93517,0.93551,0.93526
106,00:00.0,0.93691,0.93551,0.93681,0.93556
107,00:00.0,0.93727,0.9365,0.937,0.93686
108,00:00.0,0.93701,0.9363,0.9364,0.93695
109,00:00.0,0.94067,0.93618,0.93884,0.93642
110,00:00.0,0.93932,0.93764,0.93864,0.93885
111,00:00.0,0.93953,0.93723,0.93753,0.93862
112,00:00.0,0.93802,0.93742,0.93763,0.93754
113,00:00.0,0.93805,0.93739,0.93747,0.93764
114,00:00.0,0.93792,0.93741,0.93776,0.93752
115,00:00.0,0.93817,0.93764,0.93767,0.93771
116,00:00.0,0.93794,0.93752,0.93792,0.93772
117,00:00.0,0.93812,0.93767,0.93792,0.93789
118,00:00.0,,,,
119,00:00.0,,,,
120,00:00.0,,,,
121,00:00.0,,,,
122,00:00.0,,,,
123,00:00.0,,,,
124,00:00.0,,,,
125,00:00.0,,,,
126,00:00.0,,,,
127,00:00.0,,,,
128,00:00.0,,,,
129,00:00.0,,,,
130,00:00.0,,,,
131,00:00.0,,,,
132,00:00.0,,,,
133,00:00.0,,,,
134,00:00.0,,,,
135,00:00.0,,,,
136,00:00.0,,,,
137,00:00.0,,,,
138,00:00.0,,,,
139,00:00.0,,,,
140,00:00.0,,,,
141,00:00.0,,,,
142,00:00.0,,,,
143,00:00.0,,,,
144,00:00.0,,,,
145,00:00.0,,,,
146,00:00.0,,,,
147,00:00.0,,,,
148,00:00.0,,,,
149,00:00.0,,,,
150,00:00.0,,,,
151,00:00.0,,,,
152,00:00.0,,,,
153,00:00.0,,,,
154,00:00.0,,,,
155,00:00.0,,,,
156,00:00.0,,,,
157,00:00.0,,,,
158,00:00.0,,,,
159,00:00.0,,,,
160,00:00.0,,,,
161,00:00.0,,,,
162,00:00.0,,,,
163,00:00.0,0.93865,0.93815,0.93815,
164,00:00.0,0.93865,0.93646,0.93686,0.93865
165,00:00.0,0.93717,0.93648,0.93675,0.93663
166,00:00.0,0.93718,0.93654,0.93665,0.93657
167,00:00.0,0.93719,0.93647,0.93699,0.93712
168,00:00.0,0.93728,0.93631,0.93637,0.93693
169,00:00.0,0.93719,0.93621,0.93668,
170,00:00.0,0.93753,0.93644,0.93726,0.93664
171,00:00.0,0.93763,0.93661,0.9368,0.93721
172,00:00.0,0.9374,0.93661,0.93706,0.93678
173,00:00.0,0.93734,0.93671,0.93677,0.93707
174,00:00.0,0.93706,0.9363,0.93656,0.93682
175,00:00.0,0.93687,0.93589,0.93645,0.93651
176,00:00.0,0.93659,0.93551,0.93576,0.93646
177,00:00.0,0.936,0.93511,0.93521,0.93571
178,00:00.0,0.93591,0.93486,0.93486,0.93526
179,00:00.0,0.93516,0.93421,0.93476,0.93481
180,00:00.0,0.93486,0.9336,0.9336,0.93471
181,00:00.0,0.93376,0.93249,0.93284,0.93361
182,00:00.0,0.93341,0.93088,0.9313,0.93286
183,00:00.0,0.93183,0.93061,0.93149,0.93132
184,00:00.0,0.9316,0.9294,0.92997,0.9315
185,00:00.0,0.93024,0.92938,0.9294,0.92996
186,00:00.0,0.92952,0.928,0.92931,0.92943
187,00:00.0,0.92938,0.92846,0.92902,0.9293
188,00:00.0,0.92935,0.92832,0.92832,0.92892
189,00:00.0,0.9287,0.92796,0.92839,0.92827
190,00:00.0,,,,
191,00:00.0,,,,
