Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2014-03-30,561.2,566.43,558.67,559.99,41100.0,0.0,1.0,561.2,566.43,558.67,559.99,41100.0
2014-04-06,574.65,577.77,543.0,543.14,6351900.0,0.0,1.0,574.65,577.77,543.0,543.14,6351900.0
2014-04-13,532.55,540.0,526.53,530.6,3914100.0,0.0,1.0,532.55,540.0,526.53,530.6,3914100.0
2014-04-20,548.81,549.5,531.15,536.1,6790900.0,0.0,1.0,548.81,549.5,531.15,536.1,6790900.0
2014-04-27,522.51,524.7,515.42,516.18,2094600.0,0.0,1.0,522.51,524.7,515.42,516.18,2094600.0
2014-05-04,533.76,534.0,525.61,527.93,1683900.0,0.0,1.0,533.76,534.0,525.61,527.93,1683900.0
2014-05-11,510.75,519.9,504.2,518.73,2432531.0,0.0,1.0,510.75,519.9,504.2,518.73,2432531.0
2014-05-18,521.55,521.8,515.44,520.63,1476814.0,0.0,1.0,521.55,521.8,515.44,520.63,1476814.0
2014-05-25,547.26,553.64,543.7,552.7,1925164.0,0.0,1.0,547.26,553.64,543.7,552.7,1925164.0
2014-06-01,560.8,561.35,555.91,559.89,1743496.0,0.0,1.0,560.8,561.35,555.91,559.89,1743496.0
2014-06-08,558.06,558.06,548.93,556.33,1729523.0,0.0,1.0,558.06,558.06,548.93,556.33,1729523.0
2014-06-15,552.26,552.3,545.56,551.76,1215288.0,0.0,1.0,552.26,552.3,545.56,551.76,1215288.0
2014-06-22,556.85,557.58,550.3915,556.36,3889266.0,0.0,1.0,556.85,557.58,550.3915,556.36,3889266.0
2014-06-29,577.18,579.87,573.8,577.24,2147229.0,0.0,1.0,577.18,579.87,573.8,577.24,2147229.0
2014-07-06,583.35,585.01,580.92,584.73,712063.0,0.0,1.0,583.35,585.01,580.92,584.73,712063.0
2014-07-13,572.15,580.85,571.42,579.18,1615773.0,0.0,1.0,572.15,580.85,571.42,579.18,1615773.0
2014-07-20,593.0,596.8,582.0,595.08,3997098.0,0.0,1.0,593.0,596.8,582.0,595.08,3997098.0
2014-07-27,590.4,591.86,587.03,589.02,927080.0,0.0,1.0,590.4,591.86,587.03,589.02,927080.0
2014-08-03,570.9,575.9599,562.85,566.07,1935155.0,0.0,1.0,570.9,575.9599,562.85,566.07,1935155.0
2014-08-10,564.0,570.25,560.35,568.77,1489379.0,0.0,1.0,564.0,570.25,560.35,568.77,1489379.0
2014-08-17,577.86,579.38,570.52,573.48,1514966.0,0.0,1.0,577.86,579.38,570.52,573.48,1514966.0
2014-08-24,583.59,585.236,580.64,582.56,783995.0,0.0,1.0,583.59,585.236,580.64,582.56,783995.0
2014-08-31,570.69,572.04,567.0692,571.6,1075503.0,0.0,1.0,570.69,572.04,567.0692,571.6,1075503.0
2014-09-07,583.95,586.55,581.95,586.08,1616530.0,0.0,1.0,583.95,586.55,581.95,586.08,1616530.0
2014-09-14,581.0,581.64,574.46,575.62,1415568.0,0.0,1.0,581.0,581.64,574.46,575.62,1415568.0
2014-09-21,591.63,596.48,589.5,596.08,3712845.0,0.0,1.0,591.63,596.48,589.5,596.08,3712845.0
2014-09-28,576.06,579.25,574.66,577.1,1431545.0,0.0,1.0,576.06,579.25,574.66,577.1,1431545.0
2014-10-05,572.76,577.225,572.5,575.28,1134937.0,0.0,1.0,572.76,577.225,572.5,575.28,1134937.0
2014-10-12,558.34,565.1299,544.05,544.49,3060217.0,0.0,1.0,558.34,565.1299,544.05,544.49,3060217.0
2014-10-19,526.53,530.98,508.53,511.17,5512913.0,0.0,1.0,526.53,530.98,508.53,511.17,5512913.0
2014-10-26,544.05,544.88,535.79,539.78,1964626.0,0.0,1.0,544.05,544.88,535.79,539.78,1964626.0
2014-11-02,559.57,559.57,554.75,559.08,2024442.0,0.0,1.0,559.57,559.57,554.75,559.08,2024442.0
2014-11-09,546.21,546.21,538.67,541.01,1626675.0,0.0,1.0,546.21,546.21,538.67,541.01,1626675.0
2014-11-16,546.68,546.68,542.15,544.4,1284981.0,0.0,1.0,546.68,546.68,542.15,544.4,1284981.0
2014-11-23,541.61,542.14,536.56,537.5,2217252.0,0.0,1.0,541.61,542.14,536.56,537.5,2217252.0
2014-11-30,540.01,542.0,536.6,541.83,1145170.0,0.0,1.0,540.01,542.0,536.6,541.83,1145170.0
2014-12-07,530.6,532.89,524.28,525.26,2554487.0,0.0,1.0,530.6,532.89,524.28,525.26,2554487.0
2014-12-14,527.83,533.92,527.1,528.34,1543583.0,0.0,1.0,527.83,533.92,527.1,528.34,1543583.0
2014-12-21,511.51,517.72,506.9106,516.35,3593052.0,0.0,1.0,511.51,517.72,506.9106,516.35,3593052.0
2014-12-28,528.77,534.25,527.31,534.03,1033543.0,0.0,1.0,528.77,534.25,527.31,534.03,1033543.0
2015-01-04,529.01,531.27,524.1,524.81,1443471.0,0.0,1.0,529.01,531.27,524.1,524.81,1443471.0
2015-01-11,523.26,524.33,513.06,513.87,2032052.0,0.0,1.0,523.26,524.33,513.06,513.87,2032052.0
