Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2013-06-26,18.55,21.7,18.55,20.38,4450900.0,0.0,1.0,18.55,21.7,18.55,20.38,4450900.0
2013-06-27,20.23,21.25,19.9,20.71,348600.0,0.0,1.0,20.23,21.25,19.9,20.71,348600.0
2013-06-28,20.8,20.87,19.89,19.89,147100.0,0.0,1.0,20.8,20.87,19.89,19.89,147100.0
2013-07-01,20.02,20.24,19.9,20.16,47100.0,0.0,1.0,20.02,20.24,19.9,20.16,47100.0
2013-07-02,20.11,20.53,20.08,20.49,45800.0,0.0,1.0,20.11,20.53,20.08,20.49,45800.0
2013-07-03,20.54,21.24,20.54,20.9,10800.0,0.0,1.0,20.54,21.24,20.54,20.9,10800.0
2013-07-05,21.05,21.47,20.7,21.24,84000.0,0.0,1.0,21.05,21.47,20.7,21.24,84000.0
2013-07-08,21.4,21.77,21.1,21.25,21900.0,0.0,1.0,21.4,21.77,21.1,21.25,21900.0
2013-07-09,21.1,21.65,20.9,21.5,128100.0,0.0,1.0,21.1,21.65,20.9,21.5,128100.0
2013-07-10,21.5,21.54,21.25,21.4,7300.0,0.0,1.0,21.5,21.54,21.25,21.4,7300.0
2013-07-11,21.51,21.93,20.7,21.02,42000.0,0.0,1.0,21.51,21.93,20.7,21.02,42000.0
2013-07-12,21.17,21.77,20.96,21.35,10700.0,0.0,1.0,21.17,21.77,20.96,21.35,10700.0
2013-07-15,21.5,21.62,21.27,21.4,10600.0,0.0,1.0,21.5,21.62,21.27,21.4,10600.0
2013-07-16,21.49,21.5,21.01,21.46,10900.0,0.0,1.0,21.49,21.5,21.01,21.46,10900.0
2013-07-17,21.93,22.19,21.57,21.71,10500.0,0.0,1.0,21.93,22.19,21.57,21.71,10500.0
2013-07-18,21.86,22.07,21.51,21.94,15100.0,0.0,1.0,21.86,22.07,21.51,21.94,15100.0
2013-07-19,22.05,22.05,21.35,21.67,55800.0,0.0,1.0,22.05,22.05,21.35,21.67,55800.0
2013-07-22,21.84,21.87,21.31,21.41,55000.0,0.0,1.0,21.84,21.87,21.31,21.41,55000.0
2013-07-23,21.4,21.4,21.09,21.15,48100.0,0.0,1.0,21.4,21.4,21.09,21.15,48100.0
