Index,Time,HIGH_S2BX_LON_BARCLAYS::BARCLAYS=AUDUSD.VALUE..Graph_1,LOW_S2BX_LON_BARCLAYS::BARCLAYS=AUDUSD.VALUE..Graph_1,LAST_S2BX_LON_BARCLAYS::BARCLAYS=AUDUSD.VALUE..Graph_1,FIRST_S2BX_LON_BARCLAYS::BARCLAYS=AUDUSD.VALUE..Graph_1
1,2014/09/01 00:00:00.000,0.93334,0.93285,0.93296,0.93296
2,2014/09/01 00:15:00.000,0.93347,0.93281,0.93316,0.93301
3,2014/09/01 00:30:00.000,0.93318,0.93307,0.9331,0.93311
4,2014/09/01 00:45:00.000,0.93337,0.9327,0.93277,0.93308
5,2014/09/01 01:00:00.000,0.93354,0.93273,0.93337,0.93282
6,2014/09/01 01:15:00.000,0.93368,0.93316,0.93321,0.93331
7,2014/09/01 01:30:00.000,0.93354,0.93289,0.93335,0.93316
8,2014/09/01 01:45:00.000,0.93376,0.93287,0.93356,0.93331
9,2014/09/01 02:00:00.000,0.93386,0.93341,0.93377,0.93351
10,2014/09/01 02:15:00.000,0.93401,0.93359,0.9338,0.93382
11,2014/09/01 02:30:00.000,0.93392,0.93365,0.9338,0.93385
12,2014/09/01 02:45:00.000,0.9343,0.9338,0.93422,0.93381
13,2014/09/01 03:00:00.000,0.93428,0.93386,0.93396,0.93423
14,2014/09/01 03:15:00.000,0.93426,0.93371,0.93396,0.93395
15,2014/09/01 03:30:00.000,0.93408,0.93381,0.93403,0.93391
16,2014/09/01 03:45:00.000,0.93422,0.93398,0.93416,0.93398
17,2014/09/01 04:00:00.000,0.93434,0.93402,0.93411,0.93421
18,2014/09/01 04:15:00.000,0.93433,0.93396,0.93406,0.93416
19,2014/09/01 04:30:00.000,0.93426,0.93383,0.93407,0.93411
20,2014/09/01 04:45:00.000,0.93453,0.93401,0.93432,0.93409
21,2014/09/01 05:00:00.000,0.93438,0.93413,0.93422,0.93422
22,2014/09/01 05:15:00.000,0.93423,0.9341,0.93418,0.9342
23,2014/09/01 05:30:00.000,0.93428,0.93399,0.934,0.93423
24,2014/09/01 05:45:00.000,0.93412,0.9339,0.93407,0.93401
25,2014/09/01 06:00:00.000,0.93429,0.93401,0.93416,0.93408
26,2014/09/01 06:15:00.000,0.93443,0.934,0.93417,0.93411
27,2014/09/01 06:30:00.000,0.93522,0.93421,0.93512,0.93422
28,2014/09/01 06:45:00.000,0.93519,0.93487,0.93491,0.93517
29,2014/09/01 07:00:00.000,0.93527,0.93486,0.93491,0.93508
30,2014/09/01 07:15:00.000,0.93492,0.93461,0.93476,0.93489
31,2014/09/01 07:30:00.000,0.93513,0.93471,0.9349,0.93471
32,2014/09/01 07:45:00.000,0.93505,0.93465,0.93496,0.93488
33,2014/09/01 08:00:00.000,0.93498,0.93471,0.93476,0.93495
34,2014/09/01 08:15:00.000,0.93476,0.93445,0.9346,0.93471
35,2014/09/01 08:30:00.000,0.93478,0.9344,0.93474,0.93461
36,2014/09/01 08:45:00.000,0.93502,0.9346,0.93476,0.93475
37,2014/09/01 09:00:00.000,0.93498,0.93461,0.93466,0.93471
38,2014/09/01 09:15:00.000,0.93483,0.93427,0.93455,0.93461
39,2014/09/01 09:30:00.000,0.93492,0.93451,0.93482,0.93456
40,2014/09/01 09:45:00.000,0.93485,0.93442,0.93454,0.93477
41,2014/09/01 10:00:00.000,0.93463,0.93449,0.93462,0.93459
42,2014/09/01 10:15:00.000,0.93462,0.93435,0.93446,0.9346
43,2014/09/01 10:30:00.000,0.93462,0.9345,0.93461,0.93451
44,2014/09/01 10:45:00.000,0.93462,0.93441,0.93446,0.93457
45,2014/09/01 11:00:00.000,0.93451,0.93431,0.93436,0.93451
46,2014/09/01 11:15:00.000,0.93452,0.93422,0.93445,0.93431
47,2014/09/01 11:30:00.000,0.9345,0.93415,0.93416,0.9345
48,2014/09/01 11:45:00.000,0.93421,0.93409,0.93416,0.93415
49,2014/09/01 12:00:00.000,0.93432,0.93411,0.93416,0.93411
50,2014/09/01 12:15:00.000,0.93412,0.93391,0.93392,0.93411
51,2014/09/01 12:30:00.000,0.93401,0.93381,0.93386,0.93387
52,2014/09/01 12:45:00.000,0.93437,0.93385,0.93419,0.93391
53,2014/09/01 13:00:00.000,0.93451,0.93414,0.93435,0.93424
54,2014/09/01 13:15:00.000,0.93461,0.9343,0.93446,0.93437
55,2014/09/01 13:30:00.000,0.9347,0.93435,0.93456,0.93451
56,2014/09/01 13:45:00.000,0.93452,0.93432,0.93446,0.93452
57,2014/09/01 14:00:00.000,0.93456,0.93392,0.93392,0.93441
58,2014/09/01 14:15:00.000,0.93444,0.93393,0.93428,0.93393
59,2014/09/01 14:30:00.000,0.93454,0.9343,0.93435,0.93433
60,2014/09/01 14:45:00.000,0.93442,0.9342,0.93421,0.93436
61,2014/09/01 15:00:00.000,0.93441,0.93411,0.93421,0.93441
62,2014/09/01 15:15:00.000,0.93434,0.93398,0.93422,0.93411
63,2014/09/01 15:30:00.000,0.93421,0.9341,0.93416,0.93421
64,2014/09/01 15:45:00.000,0.93421,0.93407,0.93417,0.93421
65,2014/09/01 16:00:00.000,0.93442,0.93416,0.93437,0.93418
66,2014/09/01 16:15:00.000,0.93442,0.93422,0.93437,0.93442
67,2014/09/01 16:30:00.000,0.93442,0.93412,0.93412,0.93442
