Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2012-02-12,14.0,14.03,13.77,13.96,336300.0,0.0,1.0,14.0,14.03,13.77,13.96,336300.0
2012-02-19,13.61,13.99,13.5,13.58,142800.0,0.0,1.0,13.61,13.99,13.5,13.58,142800.0
2012-02-26,13.93,13.93,13.55,13.71,120000.0,0.0,1.0,13.93,13.93,13.55,13.71,120000.0
2012-03-04,15.07,15.7,14.97,15.14,237700.0,0.0,1.0,15.07,15.7,14.97,15.14,237700.0
2012-03-11,15.18,15.59,15.08,15.32,166200.0,0.0,1.0,15.18,15.59,15.08,15.32,166200.0
2012-03-18,16.91,17.26,16.2,16.8,326100.0,0.0,1.0,16.91,17.26,16.2,16.8,326100.0
2012-03-25,16.56,17.35,16.56,17.1,227600.0,0.0,1.0,16.56,17.35,16.56,17.1,227600.0
2012-04-01,20.29,20.7,19.75,20.52,408500.0,0.0,1.0,20.29,20.7,19.75,20.52,408500.0
2012-04-08,21.03,21.4,20.61,20.96,102100.0,0.0,1.0,21.03,21.4,20.61,20.96,102100.0
2012-04-15,23.12,23.12,22.45,22.65,100000.0,0.0,1.0,23.12,23.12,22.45,22.65,100000.0
2012-04-22,20.56,20.92,20.01,20.04,107500.0,0.0,1.0,20.56,20.92,20.01,20.04,107500.0
2012-04-29,20.1,20.82,19.85,20.09,176400.0,0.0,1.0,20.1,20.82,19.85,20.09,176400.0
2012-05-06,20.98,20.98,20.1,20.46,113900.0,0.0,1.0,20.98,20.98,20.1,20.46,113900.0
2012-05-13,17.49,17.72,17.13,17.36,36000.0,0.0,1.0,17.49,17.72,17.13,17.36,36000.0
2012-05-20,15.2,15.75,14.84,14.97,177200.0,0.0,1.0,15.2,15.75,14.84,14.97,177200.0
2012-05-27,16.93,17.16,16.77,16.99,112600.0,0.0,1.0,16.93,17.16,16.77,16.99,112600.0
2012-06-03,17.16,17.16,16.38,16.52,75500.0,0.0,1.0,17.16,17.16,16.38,16.52,75500.0
2012-06-10,16.44,16.86,16.21,16.78,11700.0,0.0,1.0,16.44,16.86,16.21,16.78,11700.0
2012-06-17,17.84,17.86,17.57,17.61,76000.0,0.0,1.0,17.84,17.86,17.57,17.61,76000.0
2012-06-24,17.98,18.26,17.8,17.99,168500.0,0.0,1.0,17.98,18.26,17.8,17.99,168500.0
2012-07-01,17.02,17.14,16.73,16.99,76800.0,0.0,1.0,17.02,17.14,16.73,16.99,76800.0
2012-07-08,16.86,16.86,15.96,16.12,11600.0,0.0,1.0,16.86,16.86,15.96,16.12,11600.0
2012-07-15,14.47,15.59,14.47,15.41,67400.0,0.0,1.0,14.47,15.59,14.47,15.41,67400.0
2012-07-22,15.47,15.47,15.05,15.26,17700.0,0.0,1.0,15.47,15.47,15.05,15.26,17700.0
2012-07-29,14.54,15.68,14.54,15.32,121400.0,0.0,1.0,14.54,15.68,14.54,15.32,121400.0
2012-08-05,15.99,16.55,15.44,16.0,88300.0,0.0,1.0,15.99,16.55,15.44,16.0,88300.0
2012-08-12,16.7,18.5,16.7,17.59,96800.0,0.0,1.0,16.7,18.5,16.7,17.59,96800.0
2012-08-19,17.5,17.76,17.42,17.5,158000.0,0.0,1.0,17.5,17.76,17.42,17.5,158000.0
2012-08-26,17.95,18.79,17.45,18.01,271500.0,0.0,1.0,17.95,18.79,17.45,18.01,271500.0
2012-09-02,17.95,17.95,17.44,17.5,106700.0,0.0,1.0,17.95,17.95,17.44,17.5,106700.0
2012-09-09,17.7,17.7,17.5,17.57,67800.0,0.0,1.0,17.7,17.7,17.5,17.57,67800.0
